second,Volt,Volt
-7.18000E-03,-8.98552E-03,-7.05713E-03
-7.17000E-03,-8.95411E-03,-6.99431E-03
-7.16000E-03,-9.01693E-03,-7.02572E-03
-7.15000E-03,-8.92271E-03,-6.99431E-03
-7.14000E-03,-9.01693E-03,-7.02572E-03
-7.13000E-03,-8.92271E-03,-6.93150E-03
-7.12000E-03,-8.92271E-03,-7.05713E-03
-7.11000E-03,-8.98552E-03,-6.96290E-03
-7.10000E-03,-9.01693E-03,-7.02572E-03
-7.09000E-03,-9.07974E-03,-7.02572E-03
-7.08000E-03,-8.98552E-03,-7.02572E-03
-7.07000E-03,-9.01693E-03,-6.99431E-03
-7.06000E-03,-8.98552E-03,-6.99431E-03
-7.05000E-03,-9.04833E-03,-6.93150E-03
-7.04000E-03,-8.85989E-03,-7.08853E-03
-7.03000E-03,-9.04833E-03,-6.99431E-03
-7.02000E-03,-8.95411E-03,-7.08853E-03
-7.01000E-03,-8.89130E-03,-7.11994E-03
-7.00000E-03,-9.14256E-03,-7.05713E-03
-6.99000E-03,-9.01693E-03,-7.02572E-03
-6.98000E-03,-8.98552E-03,-6.99431E-03
-6.97000E-03,-9.01693E-03,-7.02572E-03
-6.96000E-03,-8.95411E-03,-7.02572E-03
-6.95000E-03,-8.98552E-03,-6.99431E-03
-6.94000E-03,-8.98552E-03,-7.02572E-03
-6.93000E-03,-8.95411E-03,-7.05713E-03
-6.92000E-03,-9.07974E-03,-6.96290E-03
-6.91000E-03,-8.85989E-03,-7.02572E-03
-6.90000E-03,-9.01693E-03,-6.99431E-03
-6.89000E-03,-8.98552E-03,-6.99431E-03
-6.88000E-03,-9.04833E-03,-6.99431E-03
-6.87000E-03,-8.92271E-03,-7.02572E-03
-6.86000E-03,-8.95411E-03,-6.99431E-03
-6.85000E-03,-8.95411E-03,-7.08853E-03
-6.84000E-03,-8.95411E-03,-7.02572E-03
-6.83000E-03,-8.98552E-03,-7.02572E-03
-6.82000E-03,-8.98552E-03,-7.08853E-03
-6.81000E-03,-9.04833E-03,-7.11994E-03
-6.80000E-03,-9.01693E-03,-6.99431E-03
-6.79000E-03,-8.89130E-03,-7.08853E-03
-6.78000E-03,-8.85989E-03,-7.05713E-03
-6.77000E-03,-8.95411E-03,-6.99431E-03
-6.76000E-03,-8.92271E-03,-7.05713E-03
-6.75000E-03,-8.95411E-03,-7.02572E-03
-6.74000E-03,-8.92271E-03,-6.93150E-03
-6.73000E-03,-8.98552E-03,-7.02572E-03
-6.72000E-03,-8.89130E-03,-6.99431E-03
-6.71000E-03,-8.89130E-03,-6.96290E-03
-6.70000E-03,-9.01693E-03,-7.02572E-03
-6.69000E-03,-8.82848E-03,-6.99431E-03
-6.68000E-03,-8.95411E-03,-6.96290E-03
-6.67000E-03,-8.95411E-03,-6.99431E-03
-6.66000E-03,-8.92271E-03,-6.99431E-03
-6.65000E-03,-8.98552E-03,-6.99431E-03
-6.64000E-03,-8.85989E-03,-6.99431E-03
